iter	Passed	Remaining
0	154	153913
1	157	78737
2	161	53656
3	165	41237
4	169	33792
5	173	28769
6	178	25260
7	181	22560
8	185	20427
9	188	18703
10	193	17375
11	197	16240
12	200	15241
13	204	14416
14	208	13706
15	212	13089
16	216	12513
17	220	12052
18	224	11609
19	228	11187
20	231	10809
21	237	10542
22	240	10234
23	244	9943
24	248	9701
25	252	9469
26	256	9242
27	260	9053
28	265	8885
29	269	8710
30	272	8525
31	276	8367
32	280	8212
33	283	8062
34	287	7919
35	291	7792
36	294	7665
37	298	7545
38	301	7435
39	305	7332
40	309	7234
41	313	7142
42	316	7042
43	320	6959
44	323	6872
45	327	6783
46	330	6698
47	334	6637
48	338	6565
49	341	6496
50	345	6424
51	349	6364
52	352	6296
53	356	6238
54	360	6187
55	363	6133
56	367	6078
57	370	6021
58	373	5963
59	377	5921
60	381	5875
61	384	5821
62	388	5776
63	392	5733
64	396	5699
65	399	5656
66	402	5609
67	406	5566
68	409	5530
69	413	5487
70	415	5442
71	418	5395
72	422	5364
73	426	5330
74	428	5289
75	432	5252
76	435	5223
77	438	5188
78	442	5157
79	445	5121
80	448	5090
81	452	5066
82	454	5019
83	457	4993
84	461	4963
85	464	4933
86	467	4909
87	470	4879
88	473	4848
89	476	4817
90	481	4809
91	484	4785
92	487	4755
93	490	4728
94	493	4699
95	496	4676
96	499	4652
97	502	4625
98	505	4599
99	508	4575
100	511	4556
101	515	4534
102	517	4509
103	521	4489
104	524	4472
105	528	4453
106	530	4431
107	533	4409
108	536	4388
109	540	4371
110	543	4354
111	547	4337
112	550	4320
113	554	4306
114	557	4289
115	560	4269
116	562	4245
117	565	4225
118	568	4206
119	571	4189
120	574	4171
121	576	4149
122	579	4130
123	582	4112
124	585	4099
125	588	4085
126	591	4064
127	594	4047
128	597	4032
129	600	4020
130	603	4004
131	606	3987
132	609	3971
133	612	3955
134	615	3944
135	618	3932
136	622	3918
137	625	3904
138	628	3892
139	631	3878
140	634	3864
141	636	3844
142	639	3833
143	644	3828
144	647	3817
145	650	3802
146	652	3788
147	657	3782
148	660	3771
149	663	3757
150	665	3743
151	668	3729
152	672	3723
153	676	3715
154	679	3703
155	682	3690
156	685	3678
157	688	3667
158	691	3656
159	693	3643
160	695	3625
161	698	3613
162	702	3605
163	705	3594
164	707	3582
165	710	3572
166	713	3559
167	717	3551
168	720	3540
169	723	3531
170	726	3522
171	730	3515
172	733	3507
173	736	3496
174	739	3486
175	742	3475
176	745	3467
177	749	3458
178	751	3448
179	755	3441
180	758	3433
181	762	3426
182	766	3420
183	769	3413
184	772	3404
185	776	3396
186	779	3388
187	782	3377
188	784	3367
189	787	3358
190	791	3351
191	794	3344
192	797	3335
193	800	3327
194	804	3319
195	807	3312
196	810	3303
197	813	3293
198	815	3283
199	818	3275
200	822	3268
201	825	3261
202	828	3252
203	831	3244
204	835	3240
205	838	3233
206	841	3224
207	844	3214
208	846	3204
209	850	3198
210	853	3190
211	856	3181
212	858	3173
213	861	3164
214	865	3158
215	868	3151
216	870	3142
217	873	3133
218	876	3125
219	879	3119
220	883	3112
221	885	3104
222	888	3095
223	891	3089
224	895	3084
225	898	3077
226	901	3069
227	904	3061
228	907	3054
229	910	3048
230	913	3042
231	916	3035
232	920	3028
233	923	3023
234	927	3018
235	930	3011
236	933	3005
237	937	3000
238	941	2996
239	944	2989
240	947	2983
241	950	2976
242	953	2970
243	956	2964
244	959	2956
245	962	2949
246	964	2941
247	968	2936
248	971	2930
249	974	2924
250	977	2917
251	980	2909
252	983	2905
253	987	2899
254	989	2892
255	992	2885
256	998	2886
257	1001	2881
258	1004	2874
259	1008	2869
260	1011	2864
261	1015	2859
262	1017	2852
263	1020	2845
264	1023	2838
265	1026	2833
266	1030	2827
267	1032	2820
268	1035	2813
269	1038	2806
270	1041	2802
271	1045	2797
272	1047	2790
273	1050	2783
274	1053	2776
275	1056	2772
276	1060	2768
277	1063	2761
278	1066	2755
279	1070	2751
280	1075	2751
281	1078	2745
282	1081	2739
283	1084	2734
284	1087	2729
285	1091	2723
286	1094	2718
287	1097	2713
288	1101	2709
289	1104	2704
290	1107	2697
291	1110	2691
292	1112	2685
293	1116	2681
294	1119	2676
295	1122	2670
296	1125	2664
297	1130	2663
298	1134	2660
299	1138	2655
300	1142	2652
301	1146	2650
302	1149	2645
303	1152	2639
304	1155	2633
305	1158	2627
306	1161	2622
307	1165	2617
308	1167	2611
309	1170	2605
310	1173	2599
311	1177	2595
312	1180	2590
313	1183	2584
314	1185	2578
315	1188	2572
316	1191	2567
317	1195	2562
318	1198	2557
319	1201	2552
320	1205	2549
321	1208	2544
322	1211	2538
323	1214	2532
324	1216	2527
325	1220	2523
326	1223	2518
327	1226	2512
328	1229	2507
329	1232	2501
330	1235	2497
331	1238	2492
332	1241	2486
333	1244	2480
334	1246	2475
335	1250	2471
336	1253	2466
337	1256	2460
338	1259	2455
339	1261	2449
340	1265	2445
341	1269	2441
342	1271	2436
343	1274	2430
344	1278	2426
345	1281	2422
346	1284	2417
347	1287	2412
348	1291	2408
349	1294	2404
350	1297	2399
351	1300	2394
352	1303	2388
353	1305	2383
354	1309	2378
355	1312	2373
356	1314	2368
357	1317	2363
358	1320	2357
359	1324	2353
360	1327	2349
361	1329	2343
362	1332	2338
363	1335	2333
364	1339	2330
365	1342	2326
366	1345	2321
367	1348	2316
368	1352	2312
369	1355	2307
370	1358	2303
371	1361	2298
372	1364	2293
373	1367	2289
374	1371	2285
375	1374	2281
376	1378	2277
377	1381	2274
378	1385	2269
379	1388	2264
380	1390	2259
381	1393	2254
382	1397	2250
383	1400	2246
384	1403	2241
385	1405	2236
386	1408	2231
387	1411	2227
388	1414	2222
389	1417	2217
390	1420	2212
391	1423	2207
392	1426	2203
393	1430	2199
394	1432	2194
395	1435	2189
396	1438	2184
397	1441	2180
398	1445	2177
399	1448	2172
400	1450	2167
401	1453	2162
402	1456	2158
403	1459	2153
404	1462	2148
405	1465	2143
406	1467	2138
407	1471	2135
408	1475	2131
409	1478	2127
410	1481	2122
411	1484	2118
412	1487	2114
413	1490	2110
414	1493	2105
415	1496	2100
416	1499	2095
417	1503	2092
418	1506	2089
419	1510	2085
420	1514	2082
421	1519	2080
422	1523	2078
423	1526	2073
424	1530	2070
425	1533	2066
426	1536	2061
427	1539	2057
428	1541	2052
429	1545	2049
430	1548	2044
431	1551	2039
432	1554	2035
433	1557	2030
434	1561	2027
435	1564	2024
436	1568	2020
437	1571	2016
438	1575	2013
439	1578	2009
440	1581	2004
441	1584	2000
442	1587	1995
443	1590	1991
444	1593	1987
445	1596	1982
446	1599	1978
447	1603	1975
448	1606	1971
449	1609	1967
450	1612	1962
451	1615	1958
452	1618	1954
453	1621	1950
454	1625	1946
455	1627	1942
456	1630	1937
457	1634	1933
458	1637	1929
459	1639	1925
460	1643	1921
461	1646	1917
462	1649	1913
463	1652	1909
464	1655	1905
465	1658	1900
466	1661	1896
467	1664	1892
468	1667	1888
469	1671	1884
470	1674	1880
471	1678	1877
472	1681	1873
473	1685	1870
474	1688	1866
475	1690	1861
476	1694	1857
477	1697	1853
478	1700	1849
479	1703	1845
480	1706	1841
481	1710	1837
482	1713	1833
483	1715	1829
484	1718	1824
485	1721	1821
486	1725	1817
487	1728	1813
488	1730	1808
489	1733	1804
490	1736	1800
491	1740	1796
492	1743	1792
493	1745	1788
494	1748	1783
495	1751	1779
496	1755	1776
497	1758	1772
498	1761	1768
499	1764	1764
500	1767	1760
501	1770	1756
502	1773	1752
503	1776	1748
504	1778	1743
505	1782	1740
506	1785	1736
507	1788	1731
508	1790	1727
509	1793	1723
510	1797	1720
511	1800	1716
512	1803	1711
513	1805	1707
514	1808	1703
515	1812	1699
516	1815	1696
517	1818	1691
518	1820	1687
519	1823	1683
520	1826	1679
521	1829	1675
522	1832	1671
523	1835	1667
524	1837	1662
525	1841	1659
526	1844	1655
527	1847	1651
528	1850	1647
529	1854	1644
530	1857	1640
531	1860	1636
532	1863	1632
533	1866	1628
534	1869	1624
535	1872	1620
536	1875	1616
537	1878	1613
538	1883	1610
539	1887	1607
540	1890	1603
541	1893	1600
542	1897	1597
543	1901	1593
544	1903	1589
545	1906	1585
546	1909	1581
547	1912	1577
548	1916	1574
549	1919	1570
550	1922	1566
551	1924	1562
552	1928	1558
553	1931	1555
554	1935	1551
555	1938	1548
556	1942	1544
557	1946	1541
558	1948	1537
559	1951	1533
560	1954	1529
561	1958	1526
562	1961	1522
563	1964	1518
564	1966	1514
565	1969	1510
566	1973	1507
567	1976	1503
568	1980	1499
569	1982	1495
570	1986	1492
571	1989	1488
572	1992	1484
573	1994	1480
574	1997	1476
575	2001	1473
576	2004	1469
577	2007	1465
578	2010	1461
579	2012	1457
580	2017	1454
581	2020	1450
582	2023	1447
583	2026	1443
584	2029	1439
585	2032	1436
586	2035	1432
587	2038	1428
588	2041	1424
589	2044	1420
590	2047	1416
591	2050	1412
